avg_price,vwap,arrival,is_vwap_bps,is_vwap_dollars,is_arrival_bps,strategy,date
683.5898780880092,683.5816780756429,682.925,0.11995658498964445,820.0012366273768,9.735740938012771,TWAP,2025-10-27
683.5874934038002,683.5816780756429,682.925,0.0850714456479551,581.5328157268596,9.700822254277153,VWAP,2025-10-27
683.5874934038002,683.5816780756429,682.925,0.0850714456479551,581.5328157268596,9.700822254277153,VWAP (3% cap),2025-10-27
683.5671989209932,683.5816780756429,682.925,-0.2118130885320202,-1447.9154649734483,9.403652245754124,OFI-VWAP Original,2025-10-27
683.546650966377,683.5816780756429,682.925,-0.5124056186600612,-3502.710926591135,9.102770675799565,OFI-VWAP Multiplicative,2025-10-27
683.5507426241908,683.5816780756429,682.925,-0.4525494530405183,-3093.5451452137386,9.162684397128196,OFI-VWAP Vol Floor,2025-10-27
683.5832814346414,683.5816780756429,682.925,0.0234552658429088,160.3358998522708,9.639146826394551,OFI-VWAP Vol Scaled,2025-10-27
683.124590865198,683.5816780756429,682.925,-6.686650989997656,-45708.72104449109,2.922588354477007,OFI Opportunistic,2025-10-27
686.7602065046807,686.727319520694,687.195,0.4788943595501749,3288.698398671386,-6.327075943791671,TWAP,2025-10-28
686.7332222916463,686.727319520694,687.195,0.0859550914089624,590.2770952275205,-6.719747791439357,VWAP,2025-10-28
686.7332222916463,686.727319520694,687.195,0.0859550914089624,590.2770952275205,-6.719747791439357,VWAP (3% cap),2025-10-28
686.7352165130296,686.727319520694,687.195,0.11499458534958151,789.6992335645336,-6.690728060745332,OFI-VWAP Original,2025-10-28
686.7170166284056,686.727319520694,687.195,-0.1500288687439344,-1030.2892288336807,-6.955571149300788,OFI-VWAP Multiplicative,2025-10-28
686.7207963287678,686.727319520694,687.195,-0.09498955030218248,-652.3191926135041,-6.900569288661451,OFI-VWAP Vol Floor,2025-10-28
686.7308965633343,686.727319520694,687.195,0.05208825306191045,357.7042640358741,-6.75359158122113,OFI-VWAP Vol Scaled,2025-10-28
686.5205337096448,686.727319520694,687.195,-3.0111778746977347,-20678.58110491443,-9.814772958988138,OFI Opportunistic,2025-10-28
687.8091021701365,687.6081166484907,688.55,2.9229661020502284,20098.552164574812,-10.76026185263923,TWAP,2025-10-29
687.6157976033949,687.6081166484907,688.55,0.1117054135657547,768.0954904117243,-13.567676953091246,VWAP,2025-10-29
687.6157976033949,687.6081166484907,688.55,0.1117054135657547,768.0954904117243,-13.567676953091246,VWAP (3% cap),2025-10-29
687.6282081809164,687.6081166484907,688.55,0.29219452096551635,2009.153242568118,-13.387434740883553,OFI-VWAP Original,2025-10-29
687.4001859501176,687.6081166484907,688.55,-3.0239709703638873,-20793.069837316125,-16.699063973311112,OFI-VWAP Multiplicative,2025-10-29
687.4312871322109,687.6081166484907,688.55,-2.5716612704018704,-17682.951627989496,-16.247372998171585,OFI-VWAP Vol Floor,2025-10-29
687.5087765827676,687.6081166484907,688.55,-1.4447192131372688,-9934.006572314047,-15.121972510817594,OFI-VWAP Vol Scaled,2025-10-29
687.632240041254,687.6081166484907,688.55,0.35083054110707224,2412.3392763272022,-13.328878930302102,OFI Opportunistic,2025-10-29
683.5618200870204,683.1452403076765,683.54,6.097967968805573,41657.9779343806,0.3192218015102277,TWAP,2025-10-30
683.1520313947411,683.1452403076765,683.54,0.09940912508721311,679.1087064584644,-5.675872739837606,VWAP,2025-10-30
683.1520313947411,683.1452403076765,683.54,0.09940912508721311,679.1087064584644,-5.675872739837606,VWAP (3% cap),2025-10-30
683.377938832339,683.1452403076765,683.54,3.406281869982042,23269.852466250995,-2.370909788175224,OFI-VWAP Original,2025-10-30
683.1975785438004,683.1452403076765,683.54,0.7661362919009207,5233.823612388733,-5.009530622926972,OFI-VWAP Multiplicative,2025-10-30
683.2149711196664,683.1452403076765,683.54,1.0207318718702396,6973.0811989870745,-4.755082077618766,OFI-VWAP Vol Floor,2025-10-30
683.1664244591494,683.1452403076765,683.54,0.31009732957221203,2118.415147288033,-5.465306212518728,OFI-VWAP Vol Scaled,2025-10-30
683.166818212004,683.1452403076765,683.54,0.3158611530063027,2157.790432750062,-5.459545717820813,OFI Opportunistic,2025-10-30
